Date,Countries,Browser,Operating Systems,Last Touch Channel,Visits,Page Views,Search Updated (e17) (event17),Total Seconds Spent,Terminbuchung: Closed (e117) (event117),Product Favourite Add Attempt (e111) (event111),Availability check,LinkID-CustomSum,CustomTraveller-CustomSum
2023-12-10,germany,chrome 122.0,android 10,SEO,1,1,0,0,0,0,0,0.0,0.0
2023-12-11,germany,chrome 122.0,android 10,SEO,1,1,0,105,0,0,0,0.0,0.0
2023-12-17,germany,chrome 122.0,android 10,SEO,1,1,0,0,0,0,0,0.0,0.0
2023-12-18,germany,chrome 122.0,android 10,SEO,1,1,0,106,0,0,0,0.0,0.0
2024-01-05,germany,chrome 122.0,android 10,SEO,1,2,0,1160,0,0,0,0.0,0.0
2024-01-22,germany,chrome 122.0,android 10,SEO,1,6,0,806,0,0,0,3.0,6.0
2024-01-27,germany,chrome 122.0,android 10,SEO,2,4,6,455,0,0,0,0.0,0.0
2024-01-28,germany,chrome 122.0,android 10,SEO,1,11,0,527,1,0,0,10.0,0.0
2024-01-30,germany,chrome 122.0,android 10,SEO,1,1,0,0,0,0,0,0.0,0.0
2024-01-31,germany,chrome 122.0,android 10,SEO,2,4,0,98,0,0,0,0.0,0.0
2024-02-01,germany,chrome 122.0,android 10,SEO,1,4,0,323,0,0,1,0.0,0.0
2024-02-02,germany,chrome 122.0,android 10,SEO,2,4,0,51,0,0,0,0.0,0.0
2024-02-04,germany,chrome 122.0,android 10,SEO,5,7,0,2000,0,0,2,0.0,1.0
2024-02-06,germany,chrome 122.0,android 10,SEO,2,2,0,36,0,0,0,0.0,0.0
2024-02-08,germany,chrome 122.0,android 10,SEO,4,7,1,558,0,0,0,0.0,0.0
2024-02-09,germany,chrome 122.0,android 10,SEO,1,1,0,42,0,0,0,0.0,0.0
2024-02-10,germany,chrome 122.0,android 10,SEO,2,3,1,37,0,0,0,0.0,0.0
2024-02-11,germany,chrome 122.0,android 10,SEO,3,5,2,237,0,0,0,0.0,2.0
2024-02-12,germany,chrome 122.0,android 10,SEO,3,8,0,523,0,0,0,1.0,0.0
2024-02-13,germany,chrome 122.0,android 10,SEO,2,4,2,330,0,0,0,1.0,1.0
2024-02-14,germany,chrome 122.0,android 10,SEO,1,2,0,147,0,0,0,0.0,0.0
2024-02-15,germany,chrome 122.0,android 10,SEO,1,1,0,0,0,0,0,0.0,0.0
2024-02-16,germany,chrome 122.0,android 10,SEO,6,12,1,466,1,0,3,2.0,0.0
2024-02-17,germany,chrome 122.0,android 10,SEO,8,16,0,575,0,0,0,5.0,2.0
2024-02-18,germany,chrome 122.0,android 10,SEO,8,23,0,1157,1,0,0,1.0,0.0
2024-02-19,germany,chrome 122.0,android 10,SEO,9,17,2,573,1,0,0,4.0,8.0
2024-02-20,germany,chrome 122.0,android 10,SEO,5,15,0,682,0,0,1,1.0,0.0
2024-02-21,germany,chrome 122.0,android 10,SEO,121,315,21,32964,15,0,6,101.0,47.0
2024-02-22,germany,chrome 122.0,android 10,SEO,422,909,62,76566,33,0,52,168.0,123.0
2024-02-23,germany,chrome 122.0,android 10,SEO,973,2206,116,184204,64,0,100,496.0,194.0
2024-02-24,germany,chrome 122.0,android 10,SEO,1667,3852,268,344241,106,0,146,856.0,491.0
2024-02-25,germany,chrome 122.0,android 10,SEO,2771,6354,474,526688,196,0,188,1334.0,565.0
2024-02-26,germany,chrome 122.0,android 10,SEO,1993,4709,332,419505,124,0,148,980.0,512.0
2024-02-27,germany,chrome 122.0,android 10,SEO,2243,4995,279,439515,134,0,202,938.0,411.0
2024-02-28,germany,chrome 122.0,android 10,SEO,2884,6530,469,534842,190,0,207,1362.0,621.0
2024-02-29,germany,chrome 122.0,android 10,SEO,2759,6294,374,520180,191,0,237,1316.0,706.0
2024-03-01,germany,chrome 122.0,android 10,SEO,2933,6447,380,556307,197,0,195,1243.0,665.0
2024-03-02,germany,chrome 122.0,android 10,SEO,3794,8626,562,715224,204,0,300,1807.0,879.0
2024-03-03,germany,chrome 122.0,android 10,SEO,5066,11670,670,990807,276,0,420,2427.0,1131.0
2024-03-04,germany,chrome 122.0,android 10,SEO,3602,8252,556,675263,265,0,319,1746.0,740.0
