date,project,downloads
2022-09-21,pandas,3748256
2022-09-21,prophet,57893
2022-09-22,pandas,3646234
2022-09-22,prophet,53398
2022-09-23,pandas,3545304
2022-09-23,prophet,43286
2022-09-24,pandas,2539460
2022-09-24,prophet,34657
2022-09-25,pandas,2354218
2022-09-25,prophet,44439
2022-09-26,pandas,3448818
2022-09-26,prophet,56364
2022-09-27,pandas,3598281
2022-09-27,prophet,53016
2022-09-28,pandas,3726415
2022-09-28,prophet,63125
2022-09-29,pandas,3761020
2022-09-29,prophet,66651
2022-09-30,pandas,3459365
2022-09-30,prophet,48917
2022-10-01,pandas,2510751
2022-10-01,prophet,30529
2022-10-02,pandas,2372827
2022-10-02,prophet,34638
2022-10-03,pandas,3556546
2022-10-03,prophet,43590
2022-10-04,pandas,3710857
2022-10-04,prophet,49414
2022-10-05,pandas,3601902
2022-10-05,prophet,56717
2022-10-06,pandas,3822697
2022-10-06,prophet,45727
2022-10-07,pandas,3571859
2022-10-07,prophet,54813
2022-10-08,pandas,2526839
2022-10-08,prophet,40571
2022-10-09,pandas,2421353
2022-10-09,prophet,45537
2022-10-10,pandas,3356447
2022-10-10,prophet,59248
2022-10-11,pandas,3662990
2022-10-11,prophet,51759
2022-10-12,pandas,3671296
2022-10-12,prophet,45272
2022-10-13,pandas,3742586
2022-10-13,prophet,50165
2022-10-14,pandas,3583181
2022-10-14,prophet,56450
2022-10-15,pandas,2512437
2022-10-15,prophet,35323
2022-10-16,pandas,2509871
2022-10-16,prophet,27486
2022-10-17,pandas,3861021
2022-10-17,prophet,46255
2022-10-18,pandas,3806920
2022-10-18,prophet,42665
2022-10-19,pandas,3931938
2022-10-19,prophet,42659
2022-10-20,pandas,3977134
2022-10-20,prophet,52099
2022-10-21,pandas,3892447
2022-10-21,prophet,50350
2022-10-22,pandas,2741411
2022-10-22,prophet,24917
2022-10-23,pandas,2544214
2022-10-23,prophet,39377
2022-10-24,pandas,3729182
2022-10-24,prophet,58586
2022-10-25,pandas,3896617
2022-10-25,prophet,50409
2022-10-26,pandas,3850471
2022-10-26,prophet,40755
2022-10-27,pandas,3806103
2022-10-27,prophet,48208
2022-10-28,pandas,3672842
2022-10-28,prophet,45479
2022-10-29,pandas,2725291
2022-10-29,prophet,23501
2022-10-30,pandas,2554576
2022-10-30,prophet,28108
2022-10-31,pandas,4027104
2022-10-31,prophet,41101
2022-11-01,pandas,3729136
2022-11-01,prophet,44004
2022-11-02,pandas,3768599
2022-11-02,prophet,46383
2022-11-03,pandas,3890238
2022-11-03,prophet,48478
2022-11-04,pandas,3768508
2022-11-04,prophet,53502
2022-11-05,pandas,2721356
2022-11-05,prophet,48493
2022-11-06,pandas,2621892
2022-11-06,prophet,56952
2022-11-07,pandas,3776202
2022-11-07,prophet,66859
2022-11-08,pandas,3920544
2022-11-08,prophet,60718
2022-11-09,pandas,3914079
2022-11-09,prophet,58571
2022-11-10,pandas,3914733
2022-11-10,prophet,58375
2022-11-11,pandas,3562119
2022-11-11,prophet,111046
2022-11-12,pandas,2703572
2022-11-12,prophet,55581
2022-11-13,pandas,2567761
2022-11-13,prophet,55096
2022-11-14,pandas,3767555
2022-11-14,prophet,70228
2022-11-15,pandas,4019962
2022-11-15,prophet,92101
2022-11-16,pandas,3896381
2022-11-16,prophet,112150
2022-11-17,pandas,3940302
2022-11-17,prophet,89811
2022-11-18,pandas,3786075
2022-11-18,prophet,62230
2022-11-19,pandas,2658897
2022-11-19,prophet,49763
2022-11-20,pandas,2542488
2022-11-20,prophet,55072
2022-11-21,pandas,3686489
2022-11-21,prophet,70611
2022-11-22,pandas,3896766
2022-11-22,prophet,69384
2022-11-23,pandas,3832791
2022-11-23,prophet,65227
2022-11-24,pandas,3420017
2022-11-24,prophet,58598
2022-11-25,pandas,3139688
2022-11-25,prophet,58379
2022-11-26,pandas,2405101
2022-11-26,prophet,50416
2022-11-27,pandas,2414810
2022-11-27,prophet,51371
2022-11-28,pandas,3645686
2022-11-28,prophet,62759
2022-11-29,pandas,3807482
2022-11-29,prophet,50763
2022-11-30,pandas,3890396
2022-11-30,prophet,49893
2022-12-01,pandas,3912825
2022-12-01,prophet,48823
2022-12-02,pandas,3731373
2022-12-02,prophet,48026
2022-12-03,pandas,2760458
2022-12-03,prophet,32545
2022-12-04,pandas,2494841
2022-12-04,prophet,36087
2022-12-05,pandas,3719067
2022-12-05,prophet,48634
2022-12-06,pandas,4007302
2022-12-06,prophet,54324
2022-12-07,pandas,4040981
2022-12-07,prophet,64916
2022-12-08,pandas,3906030
2022-12-08,prophet,49178
2022-12-09,pandas,3741260
2022-12-09,prophet,49442
2022-12-10,pandas,2702305
2022-12-10,prophet,33054
2022-12-11,pandas,2588847
2022-12-11,prophet,37382
2022-12-12,pandas,3842590
2022-12-12,prophet,52014
2022-12-13,pandas,4085448
2022-12-13,prophet,53798
2022-12-14,pandas,4177392
2022-12-14,prophet,54988
2022-12-15,pandas,4001711
2022-12-15,prophet,53064
2022-12-16,pandas,3767619
2022-12-16,prophet,45169
2022-12-17,pandas,2784697
2022-12-17,prophet,29817
2022-12-18,pandas,2692547
2022-12-18,prophet,35249
2022-12-19,pandas,4020779
2022-12-19,prophet,48898
2022-12-20,pandas,3945525
2022-12-20,prophet,50963
2022-12-21,pandas,4006574
2022-12-21,prophet,53771
2022-12-22,pandas,3859686
2022-12-22,prophet,48863
2022-12-23,pandas,3252228
2022-12-23,prophet,36488
2022-12-24,pandas,2522151
2022-12-24,prophet,27523
2022-12-25,pandas,2437788
2022-12-25,prophet,30683
2022-12-26,pandas,2836363
2022-12-26,prophet,35321
2022-12-27,pandas,3051378
2022-12-27,prophet,38443
2022-12-28,pandas,3137369
2022-12-28,prophet,43777
2022-12-29,pandas,3100938
2022-12-29,prophet,36509
2022-12-30,pandas,3213626
2022-12-30,prophet,38826
2022-12-31,pandas,2539676
2022-12-31,prophet,29332
2023-01-01,pandas,2487931
2023-01-01,prophet,30308
2023-01-02,pandas,2927392
2023-01-02,prophet,33714
2023-01-03,pandas,3545366
2023-01-03,prophet,38861
2023-01-04,pandas,3829296
2023-01-04,prophet,41038
2023-01-05,pandas,4123944
2023-01-05,prophet,46208
2023-01-06,pandas,3872923
2023-01-06,prophet,43890
2023-01-07,pandas,2900573
2023-01-07,prophet,31022
2023-01-08,pandas,2812515
2023-01-08,prophet,34135
2023-01-09,pandas,4068417
2023-01-09,prophet,48323
2023-01-10,pandas,3979649
2023-01-10,prophet,47612
2023-01-11,pandas,4141260
2023-01-11,prophet,51479
2023-01-12,pandas,3957498
2023-01-12,prophet,48104
2023-01-13,pandas,3602396
2023-01-13,prophet,41902
2023-01-14,pandas,2736462
