ds;city;pres;prcp
01.01.2020;Aachen;1032.4;0
02.01.2020;Aachen;1027.1;0
03.01.2020;Aachen;1020.7;1.1
04.01.2020;Aachen;1031.6;0
05.01.2020;Aachen;1035.3;0
06.01.2020;Aachen;1027.4;0
07.01.2020;Aachen;1026;0.3
08.01.2020;Aachen;1024.2;3.2
09.01.2020;Aachen;1015;5.9
10.01.2020;Aachen;1019.1;1.1
11.01.2020;Aachen;1031.3;0
12.01.2020;Aachen;1023.5;0
13.01.2020;Aachen;1017.8;0
14.01.2020;Aachen;1007.4;0.1
15.01.2020;Aachen;1012.7;0.6
16.01.2020;Aachen;1024.2;0
17.01.2020;Aachen;1017.2;0.4
18.01.2020;Aachen;1025.7;0
19.01.2020;Aachen;1038.1;0
20.01.2020;Aachen;1046.8;0
21.01.2020;Aachen;1042.8;0
22.01.2020;Aachen;1037.7;0
23.01.2020;Aachen;1031.9;0
24.01.2020;Aachen;1024.5;0
25.01.2020;Aachen;1022.1;0
26.01.2020;Aachen;1016.8;0
27.01.2020;Aachen;1007.1;2.3
28.01.2020;Aachen;996.9;2
29.01.2020;Aachen;1008.2;0
30.01.2020;Aachen;1009.7;0.5
31.01.2020;Aachen;1009.6;0.1
01.02.2020;Aachen;1006.4;7.5
02.02.2020;Aachen;1010.2;2.6
03.02.2020;Aachen;1013.3;3.7
04.02.2020;Aachen;1015.2;7
05.02.2020;Aachen;1034.9;0
06.02.2020;Aachen;1033.1;0
07.02.2020;Aachen;1026;0
08.02.2020;Aachen;1020.3;0.4
09.02.2020;Aachen;1007.5;1.4
10.02.2020;Aachen;998.2;5.4
11.02.2020;Aachen;1006;1.3
12.02.2020;Aachen;1014.9;0.2
13.02.2020;Aachen;1005.3;2.8
14.02.2020;Aachen;1018.4;0.1
15.02.2020;Aachen;1018.3;0
16.02.2020;Aachen;1006;2.6
17.02.2020;Aachen;1014;1.1
18.02.2020;Aachen;1021.5;0
19.02.2020;Aachen;1019.4;2.3
20.02.2020;Aachen;1016.4;2
21.02.2020;Aachen;1025.4;0.2
22.02.2020;Aachen;1022.6;0.1
23.02.2020;Aachen;1018.1;15.8
24.02.2020;Aachen;1016.1;2.2
25.02.2020;Aachen;1001.7;1.9
26.02.2020;Aachen;999.9;2.6
27.02.2020;Aachen;1001.9;9.8
28.02.2020;Aachen;1013.8;1.8
29.02.2020;Aachen;995.8;0.9
01.03.2020;Aachen;995.2;3.4
02.03.2020;Aachen;991.4;5.5
03.03.2020;Aachen;1003.2;0.7
04.03.2020;Aachen;1010.8;0
05.03.2020;Aachen;995;12.6
06.03.2020;Aachen;995.9;9.1
07.03.2020;Aachen;1017.4;0
08.03.2020;Aachen;1013.6;1.2
09.03.2020;Aachen;1012.9;0
10.03.2020;Aachen;1008.3;18.5
